"UniProt","name","direction","importance"
"Q9HBM1","SPC25","up",0.536577231778862
"Q08708","CLM6","down",0.493681448207572
"O00559","RCAS1","up",0.473878045651539
"Q8NBL1","KTEL1","up",0.461220396651978
"Q8WWW0","RASF5","up",0.440883424178233
"Q5VU65","P210L","down",0.435436805308126
"Q6UXK5","LRRN1:CD","up",0.433532995289263
"Q13637","RAB32","down",0.42527901339126
"P78344","IF4G2","down",0.42375327941554
"Q15007","FL2D","down",0.407163200864924
"Q96RJ3","BAFF Receptor","down",0.403631963454598
"Q9Y2H0","DLGP4","down",0.402580208414271
"P20674","COX5A","up",0.396467258261258
"Q92890","UFD1","down",0.385756871817341
"Q9P2W7","B3GA1","up",0.384550398835241
"O75347","TBCA","down",0.377380449952142
"Q02083","ASAHL","down",0.377232007348752
"P34897","GLYM","down",0.375209651345788
"Q96G28","CFA36","down",0.37276310950074
"O00625","PIR","down",0.372461882277341
"Q9BYD6","RM01","down",0.370449305977302
"O43399","TPD54","down",0.364332824390176
"A1A4F0","CC055","up",0.364219514823021
"P08195.1",NA,"down",0.363176113911994
"O00602","FCN1","down",0.363021911879613
"P26196","DDX6","down",0.362637259922656
"Q9Y613","FHOD1","down",0.362627857452509
"Q16623.1",NA,"down",0.362578528437905
"P0DJI8","SAA","down",0.359224816870932
"P21246","PTN","down",0.357351219511251
"Q9UJC5","SH3L2","down",0.357049575867634
"P14061","17-beta-HSD 1","up",0.356806526456505
"Q8IXI2","MIRO1","down",0.354270346325723
"P35606","COPB2","down",0.346866232124081
"P47929","Galectin-7","down",0.346787503512448
"P61018","RAB4B","down",0.344831545162149
"Q96I24","FUBP3","up",0.341031582640008
"O95926","SYF2","up",0.339959680063904
"Q9NUQ8","ABCF3","up",0.337766297735547
"P01137","TGF-b1","up",0.337447683360734
"P13726","TF","up",0.336588460339115
"Q08050","FOXM1","up",0.330512353895562
"P17677","NEUM","down",0.328810349776575
"P18859","CF6","up",0.327803600086193
"P28838","LAP","down",0.325599405245227
"P36404","ARL2","down",0.324832767774621
"Q8WU20","FRS2","up",0.324405842347258
"Q9Y606","TRUA","up",0.322418783920735
"P26639","SYTC","down",0.321624159315418
"Q9Y376","CAB39","down",0.318957243961532
"Q6BAA4","FCRLB","down",0.318702638641834
"Q92608","DOCK2","up",0.318253987223594
"Q9NS18","GLRX2","up",0.317670029437691
"P19105","MLRM","down",0.31600236925892
"Q07960.1",NA,"up",0.313689480674583
"P07948","LYNB","down",0.313500215135958
"P17252","PKC-A","down",0.31227997923916
"O14737","TFAR19","down",0.31227997923916
"Q6PKC3.1",NA,"up",0.311554486175821
"Q8NHR7","TERB2","up",0.310857480009509
"Q9H7Z7","PGES2","up",0.309426894515701
"Q9HAV7","GRPE1","up",0.309426894515701
"Q9NPJ3","ACO13","down",0.309299203475655
"P13501.1",NA,"down",0.309088536395329
"Q6IBS0","TWF2","down",0.308658360159563
"Q9NRM6.1",NA,"up",0.306891436954486
"Q92952","KCNN1","down",0.306035771165242
"Q92802","N42L2","up",0.304824476373601
"Q9UBQ0","VPS29","down",0.303238392950699
"Q9NSI8","SAMN1","up",0.303020743372626
"P05231.1",NA,"up",0.302190934740153
"P21283","VATC1","down",0.302091854578275
"P01229.P01215",NA,"down",0.301943607213335
"P22888","LSHR","down",0.301752438140075
"Q96LA5","FCRL2","up",0.301661266170371
"Q96GD3","SCMH1","up",0.301459965470654
"Q99584","S100A13","down",0.301128388349985
"Q9H0V9","LMA2L","up",0.300789056450272
"Q15907","RB11B","down",0.300747161003393
"P20138","Siglec-3","up",0.300050532716655
"O75915","PRAF3","down",0.298543524219133
"P13501","RANTES","down",0.298017134799209
"Q9H3U1","UN45A","up",0.297809837020925
"O75830","SPI2","down",0.296210595397328
"Q9NWS0","PIHD1","down",0.295017252710728
"Q05193","Dynamin","down",0.293887172828897
"P30084","Enoyl-CoA hydratase","up",0.293578557330752
"Q8TEA8","Histidyl-tRNA synthetase-related","down",0.293070159668053
"Q8NEY4","VATC2","down",0.293052652616169
"Q9BZM4","ULBP-3","up",0.292542654858776
"P41240","CSK","down",0.29243285993759
"Q7L9L4","MOL1A","down",0.290593392982023
"Q9Y2Q3","GSTK1","down",0.290546706345391
"P0C2L3","F163B","up",0.290145610658693
"P56377","AP1S2","up",0.290060014189274
"Q3ZCQ8","TIM50","up",0.290046122491215
"P10242","MYB","up",0.289970843396418
"O00478.1",NA,"down",0.288631711096123
"P20810","Calpastatin","up",0.288368909773256
"Q5D1E8","MCPIP","up",0.2883526281019
"Q99LC4.66",NA,"down",0.28833486485751
"P12081","Histidyl-tRNA synthetase","down",0.287887781647633
"P06307","CCKN","down",0.28754044668265
"Q99LC4.182",NA,"down",0.287506941533741
"P04062","GLCM","down",0.287343515438738
"Q9NQR4","NIT2","up",0.28724766619451
"Q06190","PP2A, subunit B","down",0.287048504002462
"Q9Y3X0","CCDC9","up",0.286842155078074
"Q9UK76","HN1","up",0.286374758730732
"P48728","GCST","up",0.286304962421025
"P51460","INSL3","up",0.286117572050933
"P01589","IL-2 sRa","up",0.286003025491919
"P01112","H-ras (WT)","down",0.285710283282078
"P26440","IVD","up",0.285533335800494
"P06753.1",NA,"down",0.284841896175648
"Q96B36","AKTS1","down",0.283921728770966
"P30419","NMT1","down",0.281838698667782
"P61586","Rho A","down",0.280811766028408
"Q5GAN3","RNS13","up",0.280734399863989
"Q9H4F1","SIA7D","down",0.280698489695877
"Q16831","UPP1","down",0.280416093890655
"Q96MZ0","GD1L1","down",0.280092842132619
"Q14982","OBCAM","down",0.279667326312198
"O43639","NCK2","down",0.279333805630279
"O75390","CISY","down",0.279333805630279
"Q8IUB2","WFDC3","up",0.278975242850161
"Q99426","TBCB","down",0.278529126183107
"P51149","Rab-7","down",0.278529126183107
"P35916.1",NA,"down",0.277830762846716
"O15294","OGT1","up",0.276920863723137
"O75106","Amine oxidase","down",0.275315801063079
"Q04912","MSP R","down",0.275073820101714
"Q96NR8","RDH12","up",0.275069078866303
"Q8N912","NRAC","down",0.274850472386373
"P11310","ACADM","up",0.273807473677085
"Q9NQG5","C20orf77","down",0.273495535705749
"Q4VC05","BCL7A","down",0.273270239169172
"Q96EP0","RNF31","up",0.272957068193359
"Q15762","CD226","up",0.2725601012207
"Q06187.1",NA,"down",0.27236818798687
"O14610","GBGT2","down",0.271763151714615
"Q8IZ57","NRSN1","up",0.271336818025405
"P50995","ANX11","down",0.271116979016291
"P33764","S100A3","up",0.270273724914847
"Q5BKX5","CS054","up",0.270117995301636
"A6NFY7","SDHF1","up",0.268892370462666
"P52943","CRIP2","up",0.268860710582118
"P20849","CO9A1","up",0.268719722123767
"P31483","TIA1","down",0.268565488706417
"P62308","RUXG","down",0.268518362350811
"P23368","MAOM","down",0.268412493326881
"Q99LC4.154",NA,"up",0.268365730035141
"Q13510","Acid ceramidase","up",0.267605480602199
"Q9BX68","HINT2","up",0.267482323977903
"P51911","Calponin-1","down",0.266698927658571
"Q96C19","EFHD2","down",0.266587689612625
"Q6UXI7","VITRN","up",0.265054709269025
"Q9NR31","SAR1A","down",0.265009082315883
"Q9H910","HN1L","up",0.264705440985336
"P30040","ERP29","down",0.264602844937021
"Q8TBN0","R3GEF","down",0.264347066457102
"O76036","NKp46","down",0.263815985504859
"Q86VW2","ARHGP","down",0.263714656070355
"P55107.1",NA,"down",0.263075587877959
"O75874","IDH","up",0.262214391415468
"Q15041","AR6P1","up",0.262135652321016
"Q15126","PMVK","up",0.261799889806783
"P43629","KI3L1","up",0.261674846645527
"Q9UGP4","LIMD1","up",0.261564237386769
"P12830","Cadherin E","down",0.2613906027842
