"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q8WVK2",-0.125497985768599,12.6527514802387,-3.80073912706821,0.000173146158354835,0.228710300768011,0.635138732572547
"P62847",-0.130629237251961,16.904416727884,-3.77722817830732,0.000189543110689157,0.228710300768011,0.557655310397895
"P50914",-0.193508822220123,17.404652353123,-3.70186482549624,0.000252544970257637,0.228710300768011,0.31222409309902
"Q15397",-0.0875572642359128,14.4426782993456,-3.66662391941025,0.000288350957253768,0.228710300768011,0.1989996772118
"P32969",-0.0938430478845175,17.0633084639957,-3.61427387187296,0.000350460160539398,0.228710300768011,0.0326279674199359
"P14209",0.233452073582406,11.6945267407378,3.52004740154202,0.00049504332339085,0.24340735019085,-0.261316226793791
"P61457",0.158333197890808,12.9535986067176,3.50531048129495,0.00052217329185901,0.24340735019085,-0.306645214012853
"Q92900",-0.0809921376449084,13.5723296075313,-3.40214954037713,0.000754783522158809,0.267192362487939,-0.619056166530989
"Q9Y3A5",-0.0936882090719555,14.6584093946621,-3.40066540224672,0.000758745785221596,0.267192362487939,-0.623487962624295
"Q5QJE6",-0.101320279961922,10.9891428583621,-3.35691491339484,0.000884644422954105,0.267192362487939,-0.753329296974709
"Q9BVI4",-0.110684180383136,12.1945973445063,-3.31018302416527,0.00104044098607131,0.267192362487939,-0.890300807067393
"Q13045",-0.0879614365735594,13.5536716734994,-3.27139496536643,0.00118874302797624,0.267192362487939,-1.00263717368696
"P46778",-0.131060261057097,16.8954711736469,-3.26470241984669,0.00121623549245209,0.267192362487939,-1.0218955522602
"Q9H2P9",-0.138012389614474,11.5604285214213,-3.25030968253251,0.00127737039774447,0.267192362487939,-1.06318780683667
"Q8N158",-0.129375214766043,17.7628749025139,-3.22304017283397,0.00140108620764015,0.267192362487939,-1.14095800291286
"Q8N1G2",-0.114160172814294,11.4661136273898,-3.20562975918238,0.0014857846448714,0.267192362487939,-1.19029209111991
"P27635",-0.14369394942023,16.3584787430669,-3.19354940653645,0.00154731249298855,0.267192362487939,-1.22437672639501
"P54819",0.134034451893928,15.6736640249214,3.17601200854075,0.00164083861927418,0.267192362487939,-1.2736449857401
"P61313",-0.0909723558071227,17.7050322452391,-3.16793774350713,0.00168563209318675,0.267192362487939,-1.29624319588486
"O00193",0.162269307688421,10.9177448178243,3.1551157974737,0.00175909218126522,0.267192362487939,-1.33201893226512
"P55058",0.147526261760741,11.3059832752605,3.14837254339671,0.00179890198323979,0.267192362487939,-1.35077960391504
"P67936",0.16822678461914,14.8402762319273,3.14794048735597,0.0018014808381044,0.267192362487939,-1.35198036688312
"Q92563",-0.142605074340887,14.6195452023776,-3.11063077783833,0.00203749725305207,0.28391990900147,-1.45509025638077
"P62241",-0.10909548861643,18.5866895311529,-3.10312627007243,0.00208828618327774,0.28391990900147,-1.47569105994456
"P59998",-0.0744707581044534,16.945862577603,-3.05271673917943,0.00246083781495949,0.321188551608513,-1.61286402629976
"P46781",-0.0957615970512272,19.1022152638369,-3.02570238096295,0.00268476126052217,0.324404459134943,-1.68550811541946
"P46777",-0.0826162470167182,18.0196861199578,-3.01925998849895,0.00274085544929244,0.324404459134943,-1.70274283588304
"P42345",-0.0812635813061515,11.7351509484293,-2.98932642549927,0.00301587089585159,0.324404459134943,-1.78236870379171
"Q9BQ16",-0.119335569531646,13.9687682028462,-2.98278226678284,0.00307926892304364,0.324404459134943,-1.79967742958404
"P26641",-0.0717326550606209,18.9473925444525,-2.98140832533234,0.00309273342305445,0.324404459134943,-1.80330685514421
"P26038",0.0942755076844199,16.6243704451561,2.96890480184399,0.00321776892785558,0.324404459134943,-1.83626409371592
"Q8WUA4",-0.118091200620104,14.3198326174166,-2.9566429427119,0.00334486659245048,0.324404459134943,-1.86845780229511
"Q9UK41",-0.104620588137628,12.7422580174316,-2.95577720151192,0.00335401158987211,0.324404459134943,-1.87072608130965
