"UniProt","name","direction","importance"
"Q9HBM1","SPC25","up",0.496465277380936
"Q6UXK5","LRRN1:CD","up",0.337672044965518
"O75106","Amine oxidase","down",0.324170794918042
"O75347","TBCA","down",0.276274529402832
"P07196","NFL","down",0.206753230719864
"Q99584","S100A13","down",0.206753230719864
"O60704","TPST2","up",0.190064384919493
"Q92185","SIA8A","down",0.155591939015844
"O60479","DLX3","up",0.147941178703115
"P78325","ADAM-8","up",0.147941178703115
"Q92886","NGN1","up",0.135382832582186
"Q7Z5W3","BN3D2","down",0.133591823527184
"O43264","ZW10","down",0.133591823527184
"Q9NSI8","SAMN1","up",0.130193549166994
"Q13145.2",NA,"up",0.130193549166994
"Q13630","FCL","up",0.126927743214366
"F5H284","PAL4D","up",0.122849582118996
"Q12778","FOXO1A","down",0.122849582118996
"P28072","PSB6","up",0.120639991448348
"Q9Y534","CSDC2","up",0.120639991448348
"P13928","Annexin A8","down",0.120639991448348
"P0DN86","b-CF","down",0.120639991448348
"P43166","Carbonic anhydrase VII","down",0.120639991448348
"Q8TCY5","MRAP","down",0.120639991448348
"Q9Y6D9","MD1L1","up",0.120639991448347
"P20674","COX5A","up",0.120639991448347
"Q9Y4C5","CHST2","up",0.120639991448347
"Q9BXR5","TLR10","up",0.120639991448347
"P01308","Insulin","up",0.120639991448347
"O43761","SNG3","up",0.117899667140404
"P10584.2",NA,"up",0.117899667140404
"Q13642","SLIM 1","down",0.11701816995511
"O43175","SERA","down",0.114125837503297
"O43708","MAAI","up",0.114125837503297
"P26715","NKG2A","up",0.114125837503297
"P56704","WNT3A","up",0.114076146415486
"Q9P283","SEM5B","up",0.110155476757398
"Q9Y240.1",NA,"up",0.110155476757398
"Q96P66.1",NA,"up",0.102637312580489
"Q9Y6X0","SETBP","up",0.102637312580489
"Q9Y240","SCGF-beta","up",0.102637312580489
"Q8N5W8","FA24B","up",0.102637312580489
"Q06413","MEF2C","up",0.102637312580489
"Q99LC4.208",NA,"up",0.102637312580489
