"protein","mi_median_ctrl","sel_freq_ctrl","mi_median_als","sel_freq_als","mi_median_nonals","sel_freq_nonals","mi_full_ctrl","mi_full_als","mi_full_nonals","delta_mi_median","delta_sel_freq","high_ctrl","high_als","high_nonals","category"
"Q9HBM1",0.464820530879433,1,0.380711005964219,1,0.275697095187329,0.33,0.464820530879433,0.378851974980124,0.306710215103667,-0.359806620102543,-1,TRUE,TRUE,FALSE,"low_or_nonspecific"
"Q6UXK5",0.364398069725099,0.99,0.234710855253922,1,0.186166489394644,0.09,0.350599323564385,0.222604593153,0.200392896845463,-0.315853703865821,-0.98,TRUE,TRUE,FALSE,"low_or_nonspecific"
"O75347",0.260225133082418,0.9,0.191760037213333,1,0.230337863856122,0.17,0.279644046690144,0.19638355950728,0.206888223797298,-0.298802959725207,-0.8,TRUE,TRUE,FALSE,"low_or_nonspecific"
"O75106",0.216042748086666,0.62,0.0244649831826733,0.02,0.157068468223603,0,0.173603721453989,0.0083342790003984,0.119682828532852,-0.348646233127596,-1.22,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q99584",0.208472348568649,0.61,0.196323258030015,1,0.235114623525019,0.24,0.180637136009701,0.178691850244984,0.206888223797298,-0.247263714063653,-0.22,FALSE,TRUE,FALSE,"ALS_specific"
"P07196",0.193803236800682,0.56,0.157414252169114,0.99,0.204681595464272,0.14,0.206125687792671,0.150633971458976,0.200392896845463,-0.241070580095841,-0.13,FALSE,TRUE,FALSE,"ALS_specific"
"O60704",0.183423430940268,0.43,0.0241167279178591,0.02,0.128095296396565,0.01,0.19346870612297,0.0184596614193695,0.0396925139935216,-0.287401999418974,-0.84,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q92185",0.180198955832972,0.43,0.112393473212868,0.97,0.149806811211317,0.02,0.160966939318792,0.103001281969341,0.119682828532852,-0.217612293831421,0.11,FALSE,TRUE,FALSE,"ALS_specific"
"O43264",0.168537616685258,0.3,0.105286688287397,0.92,0.155207729920067,0.02,0.148198382338777,0.0963615666931861,0.119682828532852,-0.218458658317929,0.32,FALSE,TRUE,FALSE,"ALS_specific"
"Q92886",0.162380529087002,0.4,0.0194380638541793,0.01,0.141923136762508,0.01,0.1591416791331,0.0133679265401674,0.117449877918595,-0.284865601995331,-0.79,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q7Z5W3",0.161985064734217,0.27,0.112881588610089,0.93,0.146686668346965,0.01,0.110895156985082,0.107544509215113,0.119682828532852,-0.195790144471093,0.39,FALSE,TRUE,FALSE,"ALS_specific"
"P78325",0.160033118723373,0.31,0.0137271799831828,0,0.179319298819237,0.15,0.0994746225646446,0.00111180795301813,0.127833523346262,-0.325625237559427,-0.62,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P45985",0.159467603387472,0.24,0.0142192949132303,0,0.103463908531757,0,0.129479137672035,0.00858217526370764,0.0461878409453567,-0.248712217005999,-0.48,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P52943",0.151858342300139,0.22,0.0128984177761016,0,0.137698430788672,0.03,0.122183377290868,0.00335905363784983,0.0461878409453564,-0.27665835531271,-0.44,FALSE,FALSE,FALSE,"low_or_nonspecific"
"O43175",0.15146918993601,0.26,0.113778882890693,0.95,0.152505159203561,0.01,0.144776126184583,0.107410842466579,0.114281313216044,-0.190195466248878,0.43,FALSE,TRUE,FALSE,"ALS_specific"
"P36404",0.150784934818061,0.26,0.0640348629484144,0.5,0.166977313178547,0.04,0.143696216508785,0.0502332854978969,0.119682828532852,-0.253727385048193,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q12778",0.15041231843625,0.27,0.126865871288401,0.99,0.148917773410194,0.03,0.144776126184583,0.108648993760209,0.102803856153351,-0.172464220558042,0.45,FALSE,TRUE,FALSE,"ALS_specific"
"P20800",0.148662304496777,0.25,0.0155430556700309,0,0.113218407624663,0,0.081826087366506,0.0137865617309063,0.0844116869328726,-0.246337656451409,-0.5,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q06413",0.145596323387046,0.26,0.0165484476043896,0.01,0.139703943896924,0.02,0.150070982357331,0.00943112653514211,0.102803856153351,-0.268751819679581,-0.51,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q96DR5",0.14477178818239,0.18,0.0702806951692589,0.6,0.114762281400807,0,0.120128826921429,0.0633914617999491,0.052683167897192,-0.189253374413938,0.24,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P43629",0.14270878158396,0.19,0.0286648319146705,0.02,0.146355622844465,0,0.103996352947392,0.0152766934528885,0.10280385615335,-0.260399572513755,-0.36,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9HCU0",0.140932562936637,0.2,0.0198480339274798,0,0.135974715628187,0.02,0.147886935066431,0.0169986103554254,0.0608338627106015,-0.257059244637344,-0.4,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9UPZ6.1",0.140820381348829,0.21,0.0193479132848162,0,0.131477117630013,0,0.0751208489626904,0.0178886191942311,0.0580846832139994,-0.252949585694026,-0.42,FALSE,FALSE,FALSE,"low_or_nonspecific"
"F5H284",0.140751499160557,0.14,0.0121525420574442,0,0.119682828532852,0,0.118997519395367,0.00166641152332714,0.0963085292015153,-0.248281785635965,-0.28,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9NS62",0.140311918386506,0.22,0.0164847212156489,0,0.152505159203561,0.01,0.11421627886037,0.0117798751024454,0.152505159203561,-0.276332356374417,-0.44,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9NSI8",0.138064463565152,0.22,0.0131937294768876,0,0.122319494109532,0,0.113478457022831,0.00706322242874347,0.0461878409453564,-0.247190228197796,-0.44,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9NWT6",0.138020994100123,0.19,0.0204567030873726,0,0.133989127980648,0.04,0.0963401625194082,0.00951438815765115,0.0461878409453564,-0.251553418993398,-0.38,FALSE,FALSE,FALSE,"low_or_nonspecific"
