"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000271254",0.348784379904261,9.16844695242606,5.29185176552352,3.14700903844477e-07,0.0098860141933704,5.64878448346537
"ENSG00000271984",0.179962541056126,5.15299384147383,4.79859180950853,3.10599740267055e-06,0.0487859012037463,3.77228644675044
"ENSG00000219481",0.229332275374022,11.3971110782579,4.65843186731322,5.77993479464619e-06,0.0605236238796718,3.26444917761597
"ENSG00000266803",0.14873553193361,5.07789546714603,4.35231333263189,2.14041614727595e-05,0.168097582126316,2.19641246555378
"ENSG00000117598",-0.228543775590106,9.32383991569549,-4.13886801237959,5.12689534093397e-05,0.284945724545317,1.48624172941789
"ENSG00000286861",0.160707500590816,6.09384196184418,4.12397445726456,5.44239621592889e-05,0.284945724545317,1.43777551256025
"ENSG00000132975",-0.320838325222821,9.46155765648636,-4.05268792691683,7.22691265730264e-05,0.324323191737864,1.20778922791157
"ENSG00000129636",-0.152114725621976,12.1778167552221,-3.96331845650927,0.000102580022085352,0.397963255841712,0.924158176750386
"ENSG00000215908",0.199486094247569,10.5035138591866,3.91111427250148,0.000125523907145095,0.397963255841712,0.760918680592956
"ENSG00000178301",-0.149013854872373,7.80816819156136,-3.88525956256504,0.000138616909563071,0.397963255841712,0.680743951972667
"ENSG00000285589",0.180624650081489,6.62964963556889,3.79813812274371,0.000192935592134409,0.397963255841712,0.413881697872702
"ENSG00000114491",0.0789416785144151,9.97059179318752,3.79748113660715,0.000193413061633836,0.397963255841712,0.411888704636072
"ENSG00000199753",0.154668772802545,6.1178975583658,3.76230016053068,0.00022067910743721,0.397963255841712,0.305592803311818
"ENSG00000255171",-0.150615229339659,4.2329308283717,-3.74838193665296,0.000232438583885003,0.397963255841712,0.263772161421388
"ENSG00000138207",-0.289755644647164,5.28253645502312,-3.73144867243117,0.000247544651792084,0.397963255841712,0.213069905434477
"ENSG00000015413",0.320629551916376,5.51056042740244,3.71155833247543,0.000266473218190396,0.397963255841712,0.153763270111368
"ENSG00000154153",-0.160723158812485,9.60722750418659,-3.6977587146432,0.000280399992644354,0.397963255841712,0.11277613114378
"ENSG00000196072",-0.125789235793756,10.976415660736,-3.69716308729939,0.000281016311954137,0.397963255841712,0.111009954777427
"ENSG00000266185",0.137195086968845,4.20906681474968,3.66795852639207,0.000312853354173266,0.397963255841712,0.0247099608812897
"ENSG00000205913",0.124321305257464,7.16905682919093,3.66715676235822,0.000313773611546201,0.397963255841712,0.0223489949293407
"ENSG00000004455",0.091159433072443,10.8574997108455,3.63292538123511,0.000355532626353759,0.397963255841712,-0.0780397438204394
"ENSG00000259767",0.130604151165143,5.38642635468334,3.62602356248915,0.000364563333183959,0.397963255841712,-0.0981824630539183
"ENSG00000255326",-0.158400339662191,4.57052637818944,-3.59415663083484,0.00040913329419463,0.397963255841712,-0.190757605614968
"ENSG00000239887",0.299599639569714,7.5658575392522,3.58503410569011,0.00042280711960438,0.397963255841712,-0.217129415959167
"ENSG00000106144",0.107589190637614,9.85799841748341,3.57089077219702,0.000444859452877812,0.397963255841712,-0.257901289169265
"ENSG00000165061",-0.333025834676566,8.44420358578335,-3.55663848004007,0.000468172471506905,0.397963255841712,-0.298846450711372
"ENSG00000158560",-0.176486596323118,10.1501161533375,-3.55142536351633,0.000476982990333105,0.397963255841712,-0.313787766278203
"ENSG00000171295",0.0814107499049379,9.81454193231815,3.54864899116867,0.000481738600248602,0.397963255841712,-0.321737392759833
"ENSG00000186377",-0.184280196683547,8.66867869886484,-3.54286644225952,0.000491786835569101,0.397963255841712,-0.338277378147517
"ENSG00000186310",-0.254777022251994,12.0056110004556,-3.53680126538639,0.000502537551069506,0.397963255841712,-0.355600683913071
"ENSG00000279591",0.196852195691422,5.42048863568999,3.52975492994312,0.000515304506718925,0.397963255841712,-0.37569408590955
"ENSG00000170091",-0.184467737083299,13.7496857921304,-3.5195398685531,0.000534354495400648,0.397963255841712,-0.404761792888182
"ENSG00000225279",-0.152124420013082,5.01864748719332,-3.5033376214778,0.000565931138221664,0.397963255841712,-0.450716584473025
"ENSG00000182220",-0.142428351842625,11.456065406969,-3.50188732651248,0.000568841397812398,0.397963255841712,-0.45482111258015
"ENSG00000129355",-0.173094365106281,11.0189580139748,-3.48585959374156,0.000601952463694629,0.397963255841712,-0.500083389478509
"ENSG00000145335",-0.264568358145107,11.7071314554978,-3.48086398061965,0.000612636640782087,0.397963255841712,-0.514154085389584
"ENSG00000198673",-0.305745927908386,9.78953775034435,-3.47707765097857,0.000620852667103315,0.397963255841712,-0.524807005675518
"ENSG00000120327",-0.14705818763715,9.67628380803172,-3.4749588070641,0.00062549534134851,0.397963255841712,-0.530764016144163
"ENSG00000252274",0.140628203171671,4.35881006324286,3.46749789995333,0.000642103508333972,0.397963255841712,-0.551714773826232
"ENSG00000207626",0.126273988557803,4.47956168016401,3.46245702872521,0.000653557556941311,0.397963255841712,-0.56584769913207
"ENSG00000170791",0.102663944307949,9.47500041724877,3.45402922312604,0.000673136061408929,0.397963255841712,-0.589436442375661
"ENSG00000206739",0.151284140228507,4.3313198677778,3.44307521004173,0.00069940469036117,0.397963255841712,-0.620020912943414
"ENSG00000198563",0.144866904923035,11.731638386427,3.4369837904168,0.000714424606741265,0.397963255841712,-0.636991960280391
"ENSG00000262248",0.142711099622649,5.6445777519327,3.4288716825224,0.000734896112451223,0.397963255841712,-0.659552020649939
"ENSG00000135002",-0.17719292529345,10.710278671507,-3.42389613466744,0.000747722514160419,0.397963255841712,-0.673366153351067
"ENSG00000279162",0.156320442035744,5.95076235885609,3.41121335840999,0.000781370925276615,0.397963255841712,-0.708499339627537
"ENSG00000273293",-0.134961715756101,4.2689450588696,-3.39331055739422,0.000831284293684392,0.397963255841712,-0.757898549666817
"ENSG00000140941",-0.133814961465286,11.6976897765201,-3.38881414925114,0.000844280408530409,0.397963255841712,-0.770269718354255
"ENSG00000223959",0.111390110551836,9.47018141721781,3.38156405971097,0.000865636107079805,0.397963255841712,-0.790186930143246
"ENSG00000132478",0.07368900710521,10.5722383272232,3.38090504054021,0.000867602113774639,0.397963255841712,-0.791995511982878
"ENSG00000261052",0.156160954249205,6.05166815563421,3.37424798236442,0.000887696876522037,0.397963255841712,-0.810247498890119
"ENSG00000183715",-0.374267866705649,10.7027112947347,-3.37423120637608,0.000887748060563729,0.397963255841712,-0.810293454585175
"ENSG00000273576",0.100716461972683,6.82012730322914,3.37340172303757,0.000890282278910519,0.397963255841712,-0.812565469104561
"ENSG00000011295",-0.0705902037547278,11.2851880080157,-3.36928540961719,0.000902958597299228,0.397963255841712,-0.823833095199098
"ENSG00000205763",-0.107386145068478,8.83828009819713,-3.365367569561,0.000915180066890362,0.397963255841712,-0.834546221287883
"ENSG00000115525",-0.114301077526415,10.9915106092642,-3.36298717543179,0.000922680801020614,0.397963255841712,-0.841049938202239
"ENSG00000264345",-0.154044204420599,4.59975846906017,-3.35656239217457,0.000943213046332244,0.397963255841712,-0.858583564559713
"ENSG00000225447",0.156596081774222,5.57473246355224,3.35427230991271,0.000950634178487646,0.397963255841712,-0.864826217673953
"ENSG00000200593",-0.160544288109781,5.31943708002701,-3.35372122151364,0.000952428124971223,0.397963255841712,-0.866327899016871
"ENSG00000171724",-0.267991792114263,11.0687412328904,-3.35051235120833,0.000962936799505631,0.397963255841712,-0.875067561774867
"ENSG00000102003",-0.156511013983379,13.0304894054686,-3.34679012741392,0.000975262144698296,0.397963255841712,-0.885196177724358
"ENSG00000159450",-0.294790559084921,6.47085665254129,-3.34442189901473,0.000983180466993846,0.397963255841712,-0.891635257341631
"ENSG00000279090",-0.221414356724287,4.83006550480874,-3.34033596281861,0.00099698320777104,0.397963255841712,-0.902735262605795
"ENSG00000260293",0.11248564544026,9.25497851851119,3.3355502768059,0.00101337952779233,0.397963255841712,-0.915721053546738
"ENSG00000139220",-0.166116288349382,11.3725668342215,-3.33342593953834,0.00102073804146863,0.397963255841712,-0.921480117339325
"ENSG00000177182",-0.117329347046514,10.3943269740454,-3.32854419227243,0.00103783718808678,0.397963255841712,-0.934702261193875
"ENSG00000222005",0.141996248027377,4.73251483306216,3.32640837469524,0.00104540190592818,0.397963255841712,-0.940481727502795
"ENSG00000204967",-0.346254058769934,11.2631184624542,-3.32391162484915,0.00105431013967516,0.397963255841712,-0.947233724971164
"ENSG00000151632",-0.179969688110003,10.7705077318025,-3.32211382771189,0.0010607683190555,0.397963255841712,-0.952092768730676
"ENSG00000030066",0.0814081808163953,11.2461217707681,3.32075992126142,0.0010656562399957,0.397963255841712,-0.955750546381807
"ENSG00000139970",-0.193567774032923,13.401327684506,-3.32039504181789,0.00106697712695573,0.397963255841712,-0.956736097206186
"ENSG00000114982",0.0613361365411805,11.4047365314181,3.31812028432078,0.00107524636368778,0.397963255841712,-0.96287813666539
"ENSG00000075035",-0.26089757441675,10.2502360897289,-3.31551664602861,0.00108478443620354,0.397963255841712,-0.969903629453974
"ENSG00000132631",0.132647471692002,4.24413696156721,3.31456203011742,0.0010883012492781,0.397963255841712,-0.9724782867698
"ENSG00000185033",0.0760152681731772,9.99043804287217,3.31181199455644,0.00109849187491919,0.397963255841712,-0.979891646801421
"ENSG00000241404",0.153907675157215,6.38073691119198,3.30828034184116,0.0011117092952671,0.397963255841712,-0.989404079577414
"ENSG00000234705",0.146788368290981,4.56330233612283,3.30342085605972,0.00113013848697029,0.397963255841712,-1.00247836971119
"ENSG00000230063",0.144283411049552,4.51861028833745,3.29949421129683,0.00114523738018271,0.397963255841712,-1.01303049455585
"ENSG00000099326",0.0989228415964745,10.1497530666521,3.29936593837862,0.00114573377440056,0.397963255841712,-1.01337501727277
"ENSG00000280018",0.279895705083956,8.49181098104921,3.29775594285008,0.00115198124378527,0.397963255841712,-1.01769822971976
"ENSG00000182324",0.136200424132001,6.61229949476159,3.29575007284819,0.00115980925364783,0.397963255841712,-1.02308185137805
"ENSG00000088448",0.0863825440026257,12.0332289977558,3.29285030884699,0.00117121331458809,0.397963255841712,-1.03085951303741
"ENSG00000102539",0.125154802525304,4.18960714610259,3.28974700454899,0.00118353343223875,0.397963255841712,-1.03917640774426
"ENSG00000259977",-0.217500927842912,4.53690319254829,-3.27904269234705,0.00122696132896248,0.397963255841712,-1.06781093591922
"ENSG00000164597",-0.0569737252309132,10.7911732909175,-3.2767887952889,0.00123629246082169,0.397963255841712,-1.07382970255548
"ENSG00000284130",0.129310054378895,5.1758341338458,3.2752440998303,0.00124272558162803,0.397963255841712,-1.07795251685075
"ENSG00000258301",0.0975464625115442,7.6050254314568,3.26949142428412,0.00126695842513296,0.397963255841712,-1.09329136772752
"ENSG00000267078",0.146483389552797,5.17619573952982,3.26275185065423,0.00129590734839215,0.397963255841712,-1.11123132433851
