"","x"
"Q9HBM1",0.464820530879433
"Q6UXK5",0.350599323564385
"O75347",0.279644046690144
"P07196",0.206125687792671
"O60704",0.19346870612297
"Q99584",0.180637136009701
"O75106",0.173603721453989
"Q13642",0.16729543939365
"Q92185",0.160966939318792
"Q92886",0.1591416791331
"P07948",0.152749530943239
"Q06413",0.150070982357331
"O43264",0.148198382338777
"Q9HCU0",0.147886935066431
"P33764",0.147132384349341
"O43175",0.144776126184583
"Q12778",0.144776126184583
"P36404",0.143696216508785
"Q16619",0.139816405953654
"Q63HM9",0.139339054135608
"O43508",0.139078584116116
"Q9P2W7",0.1379438059351
"Q7Z4P5",0.135689756108422
"Q9ULS5.1",0.134856685722726
"Q01344",0.132555296063185
"P01589",0.131224655844923
"P45985",0.129479137672035
"P09972",0.127802399690729
"P56937",0.127771219854984
"P07148",0.126192145497629
"P01178",0.125668107308484
"P12830",0.12540576148303
"Q9BQA9",0.124636759809747
"Q9UN36",0.124270983302014
"Q92520",0.123977457640816
"P20151",0.123977457640816
"Q5SRE7",0.123811013825283
"Q6MZM0",0.123811013825283
"O95238",0.123191073626217
"O60885",0.1228426794598
"Q9BYV9",0.1228426794598
"P52943",0.122183377290868
"A4D1E9",0.121938413806729
"P12544",0.121512039241537
"P05014.1",0.120803635625714
"P11473",0.120446041252102
"Q96DR5",0.120128826921429
"O94760",0.119457488872098
"Q2TBA0",0.119457488872098
"Q99LC4.154",0.119163963210899
"Q96BN8",0.119066299586947
"P06126",0.119066299586947
"Q15782",0.119066299586947
"F5H284",0.118997519395367
"P56278",0.118747209450313
"O95671",0.117747695249085
"Q6P1L8",0.117747695249085
"Q5MJ08",0.116661479245129
"Q92956",0.116137441055984
"O75446",0.116137441055984
"O43708",0.116137441055984
"Q15063",0.116137441055984
"P00747.1",0.116137441055984
"P10584.2",0.115990141195797
"Q96SI1",0.115708651414998
"O75381.1",0.115169106690501
"O60238",0.115002662874969
"P26715",0.114769735271229
"Q96DX5",0.114613235203847
"Q8N743",0.114613235203847
"Q96LA5",0.114613235203847
"O75478",0.11421627886037
"Q9NS62",0.11421627886037
"P05000",0.11421627886037
"Q9Y6X0",0.114164881010106
"P09564",0.113478457022831
"Q9NSI8",0.113478457022831
"P19961",0.112392241018876
"Q96PB7.1",0.112392241018876
"Q8TC92",0.112225797203345
"Q7Z7H8",0.112225797203345
"P49961.1",0.112225797203345
"P01189.2",0.112225797203345
"Q9H7B7",0.111868202829732
"Q99LC4.7",0.111732938849944
"Q99LC4.11",0.111732938849944
"Q8WU20",0.111732938849944
"Q9NPI6",0.111732938849944
"Q9UMX1",0.111732938849944
"Q8TF50",0.110963937176662
"Q7Z5W3",0.110895156985082
"Q8N158",0.110781986825776
"O60829",0.110615543010244
"Q99538.1",0.110615543010244
"Q9Y240.1",0.110419680972997
"P35858",0.110419680972997
"Q6NT46",0.109995602811178
"Q13332",0.109944204960914
"O75920",0.109662715180114
"P35222",0.109662715180114
"Q13410",0.109365718863961
"P43220.1",0.109269396256629
"Q01415",0.108432034989176
"P78556",0.108316568426498
"P58335",0.108265591173645
"Q8WUJ1",0.107706481896391
"P06753.1",0.107130812992628
"P19320",0.107084126621531
"Q15274",0.106773218619016
"P56159",0.106773218619016
"Q9NQ66",0.106773218619016
"Q99418",0.106773218619016
"P56470",0.106773218619016
"Q99471",0.106773218619016
"Q13651.1",0.106773218619016
"Q16875",0.106528255134878
"Q9Y617",0.106528255134878
"P68871",0.10639299115509
"Q13627",0.106211040804205
"Q13572",0.105980528276259
"P62253",0.105917515143006
"Q92793",0.105442039130922
"Q99697",0.105442039130922
"Q9Y240",0.104849220750198
"P21580",0.104718668249577
"O76071",0.104718668249577
"Q9BW04",0.104718668249577
"Q9Y613",0.104718668249577
"Q8WWF3",0.104718668249577
"O75154",0.104718668249577
"O95954",0.104174412045913
"Q5VUM1",0.103996352947392
"P18859",0.103996352947392
"P43629",0.103996352947392
"Q9Y217",0.102941970240945
"P56962",0.102941970240945
"Q8IVM0",0.102910136943436
"Q9UP38",0.102910136943436
"A8MQ03",0.102794670380758
"P09493",0.102794670380758
"Q9NV23",0.10251318059996
"P18509.1",0.10251318059996
"Q96RL6.1",0.10251318059996
"Q01968",0.102513180599959
"Q13522",0.102513180599959
"P31270",0.102513180599959
"Q08334",0.102513180599959
"O15269",0.101989142410815
"Q86UE6",0.101910622742208
"Q5PRF9",0.101858169312784
"P20061.1",0.101680110214263
"Q8NBZ0",0.101680110214263
"Q9UL18",0.101640748244398
"P29353",0.101417764388808
"Q9NXJ5",0.101417764388808
"Q13057",0.101417764388808
"Q3YEC7",0.101417764388808
"P48736",0.101417764388808
"P04637.1",0.101417764388808
"Q9UEF7",0.101251320573276
"Q02297",0.101251320573276
"A4D1T9",0.101251320573276
"Q9BTE7",0.101251320573276
"Q6PKC3.1",0.101251320573276
"Q13508.1",0.100957794912078
"P16435",0.100873508185144
"Q96IY4",0.100687920414267
"Q8IW00",0.100687920414267
"O75379",0.100542916957453
"Q8N8E3",0.100347054920206
"Q13825",0.100231588357528
"P54317.1",0.100231588357528
"P43251",0.100116542392261
"O75715",0.100038022723654
"P19835",0.100038022723654
"P21506",0.0999345920413757
"O15021",0.0999345920413757
"Q14681",0.0997589480186485
"P78325",0.0994746225646446
"P37235.1",0.0993787205547223
"P04183",0.0993787205547223
"Q8N3X6",0.0993787205547223
"O60942",0.098854682365578
"O95997",0.098854682365578
"P78540",0.098854682365578
"P18206",0.098854682365578
"Q13253.1",0.098854682365578
"Q4KMG9",0.098854682365578
"Q8IUR0",0.0988546823655776
"Q9UM07",0.0986194583584661
"P53999",0.098506288199161
"O60224",0.0984063281718361
"Q14116",0.0978469860302296
"Q9NZD4",0.0978469860302296
"Q9BX74",0.0978469860302291
"P48052",0.0978469860302291
"Q92870.1",0.0975846402047753
"P47902",0.0975846402047753
"P80370.2",0.0975534603690305
"P01877.P01876",0.0974061605088439
"P50135",0.0974061605088439
"Q99LC4.191",0.0974061605088439
"Q8WWW0",0.0971289616098003
"Q06187",0.096982082347024
"P28908",0.0969427203771591
"Q9NS85.1",0.0969427203771591
"Q8WUF8",0.0968272538144812
"Q99LC4.148",0.0968272538144812
"O43681",0.0967786916374207
"Q16778",0.0964672443650749
"Q6UXQ4",0.0964672443650749
"Q9NWT6",0.0963401625194082
"P05109",0.0963025621635727
"Q01151",0.0957294225275369
"Q15742",0.0953516101394047
"Q9P283",0.0953516101394047
"Q8IV36",0.0953516101394047
"Q9BUV0",0.0953516101394047
"P07307",0.0950744112403612
"Q99LC4.80",0.0949748718104471
"O43325",0.0949748718104471
"P32881",0.0949748718104471
"Q08345",0.0945460821694608
"Q0D2K0",0.0945460821694608
"P09529.P08476",0.0945460821694608
"Q9BXP5",0.0942837363440066
"O15335",0.0941172925284746
"Q8IZA0",0.0941172925284746
"Q96KB5",0.0941172925284746
"Q5T4F7",0.0941172925284746
"Q86W54",0.0941172925284746
"Q92743",0.0939041623418451
"P61647",0.0939041623418451
"O43581",0.0939041623418451
"P21246",0.0939041623418446
"O15263",0.0934424838241896
"P01137",0.0934424838241896
"Q9Y561",0.0934424838241896
"Q9Y653",0.0934424838241896
"Q9NYS0",0.0934424838241896
"Q86YT9.1",0.0934424838241896
"Q99LC4.225",0.0934424838241896
"Q96A25",0.0933327843198386
"O95498",0.0933327843198386
"Q15843",0.0933327843198386
"Q14019",0.0933327843198386
"Q14184",0.0933327843198386
"Q8TD06",0.0931022717918935
"O75818",0.0931022717918935
"P15516",0.0930820537773731
"O15391",0.0930820537773731
"Q9GZQ3",0.0930820537773731
"Q9HAV5",0.0930820537773731
"Q9H257",0.0926249199738463
"P51884",0.0926094134384936
"P17066.1",0.0926094134384936
"Q9BZR6",0.0926094134384936
"Q9NZ94",0.0924405545471667
"Q8NFM7",0.0922765258074296
"Q9H6X2",0.0920627421590354
"P63172",0.0920627421590354
"P49888",0.0920627421590354
"A6NGB7",0.0920627421590354
"P16333",0.0920627421590354
"Q92692",0.0920627421590354
"Q7LGC8",0.0920627421590354
"Q96PH6",0.0920627421590354
"Q8N766",0.0919830001462305
"P06753",0.091229671773339
"O43761",0.0911763981171125
"O75880",0.0911763981171125
"Q9UJJ9",0.0911763981171121
"P34896",0.0909828324832378
"Q06190",0.0909828324832378
"P50221",0.0909828324832378
"Q16186",0.0909828324832378
"P54821",0.0908327154298618
"P55773",0.0908327154298618
"P14555",0.0906344383168207
"Q96FN9",0.0904998277987978
"Q14833",0.0904998277987978
"Q8N6P7",0.0904998277987978
"Q6UW15",0.0904039257888756
"Q6UXG2",0.0902374819733436
"O43639",0.0902374819733436
"Q14790",0.0902374819733436
"P59665",0.0902374819733436
"Q6PJG9",0.0902374819733436
"P35226",0.0902374819733436
"P08887.1",0.0902374819733436
"Q6PDA7",0.0902374819733436
"Q9NYZ4",0.0902374819733436
"Q504Y2",0.0902374819733436
"A8MVW5.1",0.0902374819733436
"P02649.2",0.0901415799634213
"Q8N5S9",0.0901415799634209
"A6NKN8",0.0901415799634209
"P08195.1",0.0901415799634209
"Q99LC4.3",0.0899751361478893
"Q9Y2T1",0.0899751361478893
"Q9NR23",0.0899751361478893
"P31350",0.0899751361478893
"Q96IU4",0.0899751361478893
"Q05048",0.0899751361478893
"P16870.1",0.0899751361478893
"P04843.1",0.0899751361478893
"P00738.1",0.0899751361478893
"P61599",0.0894044115876471
"Q8NBV8",0.0894044115876471
"O43502",0.0891420657621929
"P48788",0.0891420657621929
"Q9UHQ1",0.0891420657621924
"Q96Q45",0.089121847747673
"Q01844",0.089121847747673
"Q96JK2",0.0890241841237214
"Q14914",0.0890241841237214
"P43361",0.0890241841237214
"O43781",0.0890241841237214
"P22003",0.0890241841237214
"P35916.1",0.0890241841237214
"Q8TE04",0.0890241841237214
"O75556.1",0.0890241841237214
"Q92608",0.0887618382982671
"Q13519",0.0887618382982667
"Q9BY42",0.0887618382982667
"P01034",0.0887618382982667
"Q8N7R7",0.0886272277802438
"P36980",0.0882378001091224
"P05060",0.0880072875811773
"Q9UBQ0",0.0879558897309125
"P09683",0.0879558897309125
"Q14995",0.0879403831955594
"Q9UHY1",0.0877623240970387
"Q9BYW2",0.0877623240970387
"Q13630",0.0877623240970387
"Q99LC4.199",0.0877623240970387
"O75063",0.087431198080004
"Q8N5W8",0.087431198080004
"P41134.1",0.0873653677535611
"P31025",0.0873335344560524
"O76064",0.0873335344560524
"Q8N8N7",0.0873335344560524
"P37023",0.0871150578085063
"Q7Z7F7",0.0871030219281073
"Q13867",0.0871030219281073
"Q7Z412",0.0871030219281073
"Q15846",0.0871030219281073
"Q9Y5T4",0.0871030219281073
"Q8N2Q7.2",0.0871030219281073
"O43854",0.0871030219281073
"Q9H5K3",0.0871030219281068
"P55201",0.0871030219281068
"Q68J44",0.0871030219281068
"Q9BZM4",0.0871030219281068
"O43300",0.0871030219281068
"Q3ZCQ8",0.0871030219281068
"Q9UKA2",0.0869365781125748
"Q15485",0.0869365781125748
"Q8N1E2",0.0868522913856418
"O75674",0.0867546277616897
"O95236",0.0867546277616897
"Q9BZE7",0.0867546277616897
"P15085.1",0.0867546277616897
"P20839",0.0867546277616897
"Q96GD3",0.0863652000905684
"O00746",0.0863652000905684
"P11310",0.0863652000905684
"P26440",0.0863652000905684
"P21912",0.0863652000905684
"Q9BZW8",0.0863652000905684
"Q9Y662",0.0863652000905684
"P48047",0.0863652000905684
"Q9Y253",0.0861202366064298
"Q8WYK2",0.0861202366064298
"P26436",0.0860953255927583
"O75791",0.0860953255927583
"Q496H8",0.0860953255927583
"Q14108",0.0860953255927583
"Q9BRK3.1",0.0860953255927583
"P54764.1",0.0860953255927583
"Q9NX94",0.0860953255927583
"Q99LC4.231",0.0860953255927583
"A2RU67.1",0.0860953255927583
"O00292",0.085705897921637
"P10147",0.085705897921637
"P19827",0.0856389935360191
"Q6EBC2",0.085492767735007
"P81172",0.085492767735007
"Q8N729",0.085492767735007
"Q16513",0.0853089415781594
"O95944",0.0853089415781594
"P49336.P24863",0.0851818597324927
"Q9Y6F8",0.0851818597324927
"Q6UY09",0.0849974943058132
"Q9NRG4",0.0846196819176814
"P0CAP1",0.0846196819176814
"P07315",0.0846196819176814
"Q9UI43",0.0846196819176814
"O94808",0.0846196819176814
"Q9UKR0",0.0846196819176814
"O76070",0.0844046759250894
"O95672",0.0844046759250894
"O76095",0.0844046759250894
"Q9BZ71",0.0842135253670087
"P10242",0.0838137333503273
"P17752",0.0838137333503273
"P30043",0.0838021180673385
"Q641Q3",0.0838021180673385
"P58417",0.0838021180673385
"O95841.1",0.0838021180673381
"Q9HB65",0.0836201677164534
"P22004.1",0.0836201677164534
"Q15726",0.0835716055393925
"P51449",0.083551387524873
"P19387",0.083551387524873
"Q9NRM6",0.083551387524873
"P68408.1",0.083551387524873
"Q99LC4.179",0.083551387524873
"Q9UKN5",0.083453723900921
"O75575",0.083453723900921
"P11177",0.083453723900921
"Q08ET2.1",0.083453723900921
"Q08ET2.2",0.083453723900921
"P40313",0.083453723900921
"O15389.2",0.083453723900921
"Q8N912",0.0832890416994188
"P56704",0.0831273093630531
"Q04917",0.0831273093630531
"P51878",0.0831273093630531
"P43490",0.0831273093630531
"P20393",0.0831273093630531
"P30613",0.0829608655475216
"O43524",0.0829608655475216
"Q13542",0.0829608655475216
"Q8WYK0",0.0829608655475216
"Q9BRR6",0.0829608655475216
"Q07960.1",0.0829608655475216
"Q9UBT2.Q9UBE0",0.0829123033704611
"Q15836",0.0829123033704611
"Q16698",0.0827944217319896
"O95274",0.0827944217319896
"P24864",0.0827944217319896
"Q15170",0.0827944217319896
"Q9BZM1",0.0827944217319896
"P62851",0.0827944217319896
"P51149",0.0827944217319896
"P07355.1",0.0827944217319896
"Q32P28",0.0827944217319896
"P23352",0.0827944217319896
"Q9BTV7",0.0827944217319896
"O75830",0.0827944217319896
"P61981.1",0.0827944217319896
"Q96GK7",0.0823501255556502
"Q9HCK4.1",0.0823501255556502
"Q5T2D2",0.0823501255556502
"P49771",0.0821744815329231
"P48382",0.0821744815329231
"P20800",0.081826087366506
"Q30KQ7",0.081826087366506
"P49720",0.081826087366506
"Q8TBN0",0.081826087366506
"P55107.1",0.081826087366506
"O00221",0.0817949075307611
"Q9GZM3",0.0817949075307611
"P55210",0.0817949075307611
"P99999",0.0817949075307611
"Q16832.1",0.0817949075307611
"Q96JX3",0.0817949075307611
"O95754",0.0817949075307611
"Q6UWS5",0.0817596035782979
"Q92478",0.0814637815137269
"P48960",0.0812702158798526
"Q12866",0.0812702158798526
"Q9Y5C1",0.0812235295087547
"O43665",0.0807398713625505
"P98172",0.0807398713625505
"Q6UXK2",0.0807398713625505
"Q8WWX9",0.0807398713625505
"P50995",0.0807398713625505
"O00165",0.0807398713625505
"Q8NEJ9",0.0807398713625505
"Q9H0W7",0.0807398713625505
"Q13203",0.0807398713625505
"Q9NYA1",0.0807398713625505
"P19429.1",0.0807398713625505
"Q9NRY6",0.0807111066025996
"A8K7I4",0.0805248653699584
"P21695",0.0805248653699584
"Q8IZ08",0.0805248653699584
"P00450",0.0805248653699584
"Q14050",0.0805248653699584
"Q9BTE6",0.0805248653699584
"P61019.1",0.0805248653699584
"Q96PD4.1",0.0805248653699584
"P02818.1",0.0805248653699584
"Q30KP9",0.0805248653699584
"P05106.P08514.2",0.0805248653699584
"P12319",0.0805248653699584
"P23510.1",0.0802823169616134
"P09237",0.0802158331734062
"Q9NXW2",0.0802158331734062
"P35080",0.0800805691936186
"P47989",0.0797870435324204
"Q96BR1",0.0796599616867528
"Q08050",0.0796599616867528
"Q16401",0.0796599616867528
"P11766",0.0796599616867528
"Q9UHB6",0.0796599616867528
"P07738",0.0796599616867528
"P54252",0.0796599616867528
"Q13287",0.0796599616867528
"P08134",0.0796599616867528
"P04746",0.0796599616867528
"Q12798",0.0796599616867528
"P14317",0.0796599616867528
"P0CG47.P51668",0.0796599616867528
"P61077.P0CG47",0.0796599616867528
"Q719H9",0.0796599616867528
"A1L168",0.0796599616867528
"Q9Y2H0",0.0796599616867528
"Q05682",0.0796599616867528
"P09936",0.0796599616867528
"P12931.1",0.0796599616867528
"P42702",0.0796599616867528
"P35318.1",0.0796599616867528
"Q5JTV8.1",0.0796599616867528
"Q8TAE8",0.0796599616867528
"Q9UJU6.1",0.0796599616867528
"Q86VW1",0.0796599616867528
"P15408",0.0794092311442882
"Q8WXF3",0.0794092311442882
"Q99LC4.208",0.0794092311442882
"P43320",0.0794092311442878
"Q96P66.1",0.0794092311442878
